010075,SU-BAB,C130,10,Lockheed C-130H Hercules
010077,SU-BAD,C130,10,Lockheed C-130H Hercules
010078,SU-BAE,C130,10,Lockheed C-130H Hercules
010079,SU-BAF,C130,10,Lockheed C-130H Hercules
01007A,SU-BAI,C130,10,Lockheed C-130H Hercules
01007C,SU-BAK,C130,10,Lockheed C-130H Hercules
01007D,SU-BAL,C130,10,Lockheed C-130H Hercules
01007E,SU-BAM,C130,10,Lockheed VC-130H Hercules
010082,SU-BAR,C130,10,Lockheed C-130H Hercules
010083,SU-BAS,C130,10,Lockheed C-130H Hercules
010086,SU-BAV,C130,10,Lockheed VC-130H Hercules
010087,SU-BEW,C130,10,Lockheed C-130H Hercules
010089,SU-BEY,C130,10,Lockheed C-130H Hercules
01008A,SU-BKS,C130,10,Lockheed C-130H-30 Hercules
01008B,SU-BKT,C130,10,Lockheed C-130H-30 Hercules
01008C,SU-BKU,C130,10,Lockheed C-130H-30 Hercules
064098,NAF913,C130,10,Lockheed C-130H Hercules
0680AD,5X-SBR,C130,00,Lockheed L-100-30 Hercules
0AC8F3,FAC1001,C130,10,Lockheed C-130B Hercules
3B7710,4588,C130,10,Lockheed C-130H Hercules
3B7711,5227,C130,10,Lockheed C-130H-30 Hercules
3B7712,5226,C130,10,Lockheed C-130H-30 Hercules
3B7713,5153,C130,10,Lockheed C-130H-30 Hercules
3B7714,5152,C130,10,Lockheed C-130H-30 Hercules
3B7715,5151,C130,10,Lockheed C-130H-30 Hercules
3B7716,5150,C130,10,Lockheed C-130H-30 Hercules
3B7717,5144,C130,10,Lockheed C-130H-30 Hercules
3B7718,5142,C130,10,Lockheed C-130H-30 Hercules
3B7719,5140,C130,10,Lockheed C-130H-30 Hercules
3B771A,5119,C130,10,Lockheed C-130H Hercules
3B771B,5116,C130,10,Lockheed C-130H Hercules
3B771C,5114,C130,10,Lockheed C-130H Hercules
4A8182,84002,C130,10,Lockheed TP 84 Hercules (C-130H)
4A8184,84004,C130,10,Lockheed TP 84 Hercules (C-130H)
4A8185,84005,C130,10,Lockheed TP 84 Hercules (C-130H)
4A8186,84006,C130,10,Lockheed TP 84 Hercules (C-130H)
4A8187,84007,C130,10,Lockheed TP 84 Hercules (C-130H)
4A8188,84008,C130,10,Lockheed TP 84 Hercules (C-130H)
738A81,102,C130,10,Lockheed C-130H Hercules
738A82,428,C130,10,Lockheed C-130H Hercules
738A8D,420,C130,10,Lockheed KC-130H Hercules
738A8E,427,C130,10,Lockheed C-130H Hercules
738A8F,435,C130,10,Lockheed C-130H Hercules
738A90,436,C130,10,Lockheed KC-130H Hercules
738A91,522,C130,10,Lockheed KC-130H Hercules
738A92,545,C130,10,Lockheed KC-130H Hercules
87CC18,35-1071,C130,10,Lockheed C-130H Hercules
87CC19,35-1072,C130,10,Lockheed C-130H Hercules
87CC1A,45-1073,C130,10,Lockheed C-130H Hercules
87CC1B,45-1074,C130,10,Lockheed C-130H Hercules
87CC1C,75-1075,C130,10,Lockheed C-130H Hercules
87CC1D,75-1076,C130,10,Lockheed C-130H Hercules
87CC1E,75-1077,C130,10,Lockheed C-130H Hercules
87CC1F,75-1078,C130,10,Lockheed C-130H Hercules
87CC20,85-1079,C130,10,Lockheed C-130H Hercules
87CC21,85-1080,C130,10,Lockheed KC-130H Hercules
87CC22,95-1081,C130,10,Lockheed KC-130H Hercules
87CC24,95-1083,C130,10,Lockheed KC-130H Hercules
87CC25,05-1084,C130,10,Lockheed C-130H Hercules
87CC26,05-1085,C130,10,Lockheed C-130H Hercules
87CC27,85-1086,C130,10,Lockheed C-130H Hercules
ADFD65,88-2101,C130,10,Lockheed HC-130N Combat King
ADFD66,88-2102,C130,10,Lockheed HC-130N Combat King
ADFDB4,92-1094,C130,10,Lockheed LC-130H Hercules
ADFDB5,92-1095,C130,10,Lockheed LC-130H Hercules
ADFDB6,93-1036,C130,10,Lockheed C-130H Hercules
ADFDB7,93-1037,C130,10,Lockheed C-130H Hercules
ADFDB8,93-1038,C130,10,Lockheed C-130H Hercules
ADFDB9,93-1039,C130,10,Lockheed C-130H Hercules
ADFDBA,93-1040,C130,10,Lockheed C-130H Hercules
ADFDBB,93-1041,C130,10,Lockheed C-130H Hercules
ADFDBE,93-7311,C130,10,Lockheed C-130H Hercules
